dep,id
vilmarzanchin,431
zenunes,471
alvaroboessio,432
anyortiz,464
cirosimoni,423
pedroruas,446
eniobacci,426
lizianebayer,468
ibsenpinheiro,490
edsonbrum,429
adilsontroca,453
adolfobrito,457
joaoreinelli,445
pedropereira,459
julianoroso,420
nelsinhometalurgico,440
eltonweber,466
luizmainardi,448
eduolivera,519
gilbertocapoani,434
manueladavila,419
jefersonfernandes,449
catarina,487
silvanacovatti,436
stelafarias,441
marlonsantos,421
adaovillaverde,444
ronaldosantini,452
juvircostella,515
sergioturra,465
miriammarroni,442
lucasredecker,460
marcelomoraes,451
tarcisiozimmermann,438
valdecioliveira,439
tiagosimon,435
zilabreitenbach,491
bombeirobianchini,467
edegarpretto,447
fredericoantunes,456
joaofischer,458
altemirtortelli,443
missionariovolnei,470
mauriciodziedricki,469
gersonburmann,425
julianabrizola,489
eduardoloureiro,422
gabrielsouza,433
luislara,463
reginabecker,424
gilmarsossella,418
sergioperes,454
aloisioclassmann,450
marcelvanhattem,492
