depparty,depname,dep
PT,Adão Villaverde,adaovillaverde
PSDB,Adilson Troca,adilsontroca
PP,Adolfo Brito,adolfobrito
PTB,Aloísio Classmann,aloisioclassmann
PT,Altemir Tortelli,altemirtortelli
PMDB,Álvaro Boessio,alvaroboessio
PPS,Any Ortiz,anyortiz
PPL,Bombeiro Bianchini,bombeirobianchini
PSB,Catarina Paladini,catarina
PDT,Ciro Simoni,cirosimoni
PT,Edegar Pretto,edegarpretto
PMDB,Edson Brum,edsonbrum
PSD,Edu Olivera,eduolivera
PDT,Eduardo Loureiro,eduardoloureiro
PSB,Elton Weber,eltonweber
PDT,Enio Bacci,eniobacci
PP,Ernani Polo,ernanipolo
PP,Frederico Antunes,fredericoantunes
PMDB,Gabriel Souza,gabrielsouza
PDT,Gerson Burmann,gersonburmann
PMDB,Gilberto Capoani,gilbertocapoani
PDT,Gilmar Sossella,gilmarsossella
PMDB,Ibsen Pinheiro,ibsenpinheiro
PT,Jeferson Fernandes,jefersonfernandes
PP,João Fischer,joaofischer
PV,João Reinelli,joaoreinelli
PDT,Juliana Brizola,julianabrizola
PCdoB,Juliano Roso,julianoroso
PMDB,Juvir Costella,juvircostella
PSB,Liziane Bayer,lizianebayer
PSDB,Lucas Redecker,lucasredecker
PTB,Luis Augusto Lara,luislara
PT,Luiz Fernando Mainardi,luizmainardi
PCdoB,Manuela d'Ávila,manueladavila
PTB,Marcelo Moraes,marcelomoraes
PDT,Marlon Santos,marlonsantos
PTB,Maurício Dziedricki,mauriciodziedricki
PT,Miriam Marroni,miriammarroni
PR,Missionário Volnei,missionariovolnei
PT,Nelsinho Metalúrgico,nelsinhometalurgico
PSDB,Pedro Pereira,pedropereira
PSOL,Pedro Ruas,pedroruas
PP,Pedro Westphalen,pedrowestphalen
REDE,Regina Becker Fortunati,reginabecker
PTB,Ronaldo Santini,ronaldosantini
PRB,Sérgio Peres,sergioperes
PP,Sérgio Turra,sergioturra
PP,Silvana Covatti,silvanacovatti
PT,Stela Farias,stelafarias
PT,Tarcisio Zimmermann,tarcisiozimmermann
PMDB,Tiago Simon,tiagosimon
PT,Valdeci Oliveira,valdecioliveira
PMDB,Vilmar Zanchin,vilmarzanchin
PT,Zé Nunes,zenunes
PSDB,Zilá Breitenbach,zilabreitenbach
PP,Marcel Van Hattem,marcelvanhattem
